,GEO_ID,county_name,state,DEMOCRAT_2012,REPUBLICAN_2012,DEMOCRAT_2016,REPUBLICAN_2016
0,1001,AUTAUGA,ALABAMA,26.58783219120842,72.61825171318736,23.76967124494454,72.76658791494815
1,1003,BALDWIN,ALABAMA,21.58944432726335,77.35826946963837,19.3856010082445,76.5457123352413
2,1005,BARBOUR,ALABAMA,51.36849422191329,48.223129724563385,46.52784411118541,52.09666634826631
3,1007,BIBB,ALABAMA,26.152019002375297,72.82660332541568,21.249574781721282,76.40322031976415
4,1009,BLOUNT,ALABAMA,12.371907023244189,86.46588352911772,8.425824605283728,89.33484445833984
5,1011,BULLOCK,ALABAMA,76.30590003757986,23.50620067643743,74.94692144373673,24.203821656050955
6,1013,BUTLER,ALABAMA,46.06149957877001,53.56992417860151,42.67063673843335,56.12688960146587
7,1015,CALHOUN,ALABAMA,33.532222150161054,65.45603908597619,27.665886678923616,68.66329600534849
8,1017,CHAMBERS,ALABAMA,47.02621312709602,52.19355280268291,41.611510791366904,56.42446043165468
9,1019,CHEROKEE,ALABAMA,21.80182022701708,76.75631455159014,14.413491102208143,83.41563402590143
10,1021,CHILTON,ALABAMA,19.453670828083837,79.78467529492612,15.847351516141325,82.10027764167891
11,1023,CHOCTAW,ALABAMA,47.515060240963855,52.108433734939766,42.63576522216127,56.30828304991772
12,1025,CLARKE,ALABAMA,45.72955021298101,53.9311241065627,44.11787276494513,54.79241807996317
13,1027,CLAY,ALABAMA,26.673671570099067,72.30561392975082,18.67451690821256,79.18176328502415
14,1029,CLEBURNE,ALABAMA,15.400475812846947,83.6161776367962,10.37463976945245,87.42605794023964
15,1031,COFFEE,ALABAMA,24.911482043500254,74.1831057157309,20.325516444358836,76.44339577213849
16,1033,COLBERT,ALABAMA,39.19606585418003,59.59375668163352,29.34778246036524,67.21252257676099
17,1035,CONECUH,ALABAMA,50.62660210766163,48.97465109655369,46.77296886864085,51.93621867881549
18,1037,COOSA,ALABAMA,41.582843044220915,57.86676788764471,33.92993145468393,64.37547600913938
19,1039,COVINGTON,ALABAMA,20.475912598067822,78.79789924139273,14.974905897114176,83.23086574654957
20,1041,CRENSHAW,ALABAMA,31.941414770956683,67.48208164537239,26.55177916068294,72.0121270145205
21,1043,CULLMAN,ALABAMA,14.661752328989754,84.1599674957193,10.028252316954031,87.10426953238455
22,1045,DALE,ALABAMA,28.485207738319772,70.63641752438433,23.537255320283748,73.6465944850392
23,1047,DALLAS,ALABAMA,69.73703049682624,30.01002243115544,68.3056619838229,30.8056619838229
24,1049,DEKALB,ALABAMA,21.954490214977163,76.81766751875288,14.02462634554325,82.88159219391311
25,1051,ELMORE,ALABAMA,25.233197125546003,73.98337325630548,22.659688674181428,74.1653247450349
26,1053,ESCAMBIA,ALABAMA,36.91573071491022,62.4588069137131,31.020545638262043,66.92489053553385
27,1055,ETOWAH,ALABAMA,30.10345638372913,68.49282859158241,23.64369169459288,73.25649850557015
28,1057,FAYETTE,ALABAMA,22.866851245909892,76.18927762396174,16.5110922536065,81.36743847739119
29,1059,FRANKLIN,ALABAMA,29.20158393958928,69.68413297725388,18.24750830564784,78.62126245847176
30,1061,GENEVA,ALABAMA,18.012367491166078,81.05123674911661,12.969892838918184,84.99744854567103
31,1063,GREENE,ALABAMA,84.6629213483146,15.056179775280897,82.23360655737704,17.172131147540984
32,1065,HALE,ALABAMA,62.60557676732616,37.13988198542173,59.39054726368159,39.46517412935324
33,1067,HENRY,ALABAMA,35.194063926940636,64.24657534246575,28.39444995044599,69.77205153617443
34,1069,HOUSTON,ALABAMA,29.502838875900565,69.82680471396536,25.009967400736414,72.06547995966133
35,1071,JACKSON,ALABAMA,28.293726004762597,70.17057880157458,17.503812428516966,79.451010293557
36,1073,JEFFERSON,ALABAMA,52.60497897459183,46.618824814588145,51.57055928676391,44.30374337176314
37,1075,LAMAR,ALABAMA,22.96957856544795,76.15126988557076,14.872236577662933,83.59173126614988
38,1077,LAUDERDALE,ALABAMA,33.883111255551945,64.75733939984833,25.179000632511066,70.58570524984187
39,1079,LAWRENCE,ALABAMA,35.91978458049886,62.88265306122449,24.458830669633823,73.0528019421404
40,1081,LEE,ALABAMA,39.33295314483342,59.22478338453614,35.86693923062628,58.48355324289165
41,1083,LIMESTONE,ALABAMA,27.719337826785868,71.33590907809018,23.497294882612795,72.13729091179827
42,1085,LOWNDES,ALABAMA,76.41271107565484,23.347959047998938,73.05505685218432,26.196888090963494
43,1087,MACON,ALABAMA,87.02135847604387,12.80546469116798,82.77899343544858,15.656455142231948
44,1089,MADISON,ALABAMA,39.994453724066325,58.61252813445205,38.44934481513443,54.78949011255347
